#%result_name=Analysis_31,,,,,,,,
#%array_type=Clariom_S_Human,,,,,,,,
#%annotation=Clariom_S_Human.r1.na36.hg38.a1.transcript.csv,,,,,,,,
#%comparison=Asymp vs healthy,,,,,,,,
ID,Asymp Avg (log2),healthy Avg (log2),Fold Change,P-val,FDR P-val,Gene Symbol,Description,Group
TC0100011417.hg.1,10.82,11.84,-2.02,0.0175,0.1466,CR1L,complement component (3b/4b) receptor 1-like,Multiple_Complex
TC0Y00006528.hg.1,8.25,7.22,2.05,0.018,0.1487,PRKY,"protein kinase, Y-linked, pseudogene",Multiple_Complex
TC1700008123.hg.1,7.18,8.51,-2.51,0.0183,0.1498,MYL4,myosin light chain 4,Multiple_Complex
TC0700009493.hg.1,11.4,12.6,-2.3,0.021,0.1616,ZYX,zyxin,Multiple_Complex
TC1300008892.hg.1,9.76,8.61,2.22,0.0215,0.1641,LPAR6,lysophosphatidic acid receptor 6,Multiple_Complex
TC1700010826.hg.1,9.19,10.36,-2.26,0.0216,0.1644,SLC25A39,"solute carrier family 25, member 39",Multiple_Complex
TC1200009132.hg.1,12.34,13.71,-2.57,0.0216,0.1646,RNF10,ring finger protein 10,Multiple_Complex
TC0100014531.hg.1,7.87,9.24,-2.58,0.0223,0.1682,WLS,wntless Wnt ligand secretion mediator,Multiple_Complex
TC0200014154.hg.1,4.52,5.57,-2.06,0.023,0.1709,GYPC,"Memczak2013 ANTISENSE, coding, INTERNAL, UTR3 best transcript NM_016815",NonCoding
TC1000012011.hg.1,8.77,9.77,-2.01,0.0239,0.1739,RGS10,regulator of G-protein signaling 10,Multiple_Complex
TC0100010648.hg.1,11.08,12.11,-2.03,0.024,0.1745,PRDX6,peroxiredoxin 6,Multiple_Complex
TC0400007839.hg.1,10.91,11.95,-2.05,0.0258,0.1818,PF4V1,platelet factor 4 variant 1,Coding
TC1100013133.hg.1,11.3,13.26,-3.9,0.0262,0.1829,HBG2; HBG1,"hemoglobin, gamma G; hemoglobin, gamma A",Multiple_Complex
TC0300012191.hg.1,13.41,12.3,2.16,0.0268,0.1853,PARP9,poly(ADP-ribose) polymerase family member 9,Multiple_Complex
TC1700006751.hg.1,10.52,11.54,-2.03,0.027,0.1858,POLR2A,"polymerase (RNA) II (DNA directed) polypeptide A, 220kDa",Multiple_Complex
TC0100016983.hg.1,8.75,10.2,-2.73,0.027,0.1858,CHI3L1,chitinase 3-like 1 (cartilage glycoprotein-39),Multiple_Complex
TC0400011012.hg.1,10.05,11.57,-2.87,0.0279,0.1895,PF4,platelet factor 4,Coding
TC0700011318.hg.1,8.9,10.14,-2.36,0.028,0.1897,ERV3-1; ZNF117,"endogenous retrovirus group 3, member 1; zinc finger protein 117",Multiple_Complex
TC1000008396.hg.1,11.09,9.48,3.06,0.0315,0.2015,IFIT2,interferon-induced protein with tetratricopeptide repeats 2,Coding
TC0600007598.hg.1,13.59,14.62,-2.03,0.0411,0.2334,AIF1,allograft inflammatory factor 1,Multiple_Complex
